Title,City,Salary,EmploymentType,JobURL,Company,Posted_date,RemoteStatus,JobID,Current date time (CST)
REMOTE - Data Analyst (3 Week Project),Atlanta,$40 / hr,Contractor,"https://www.ziprecruiter.com/c/TEKsystems/Job/REMOTE-Data-Analyst-(3-Week-Project)/-in-Atlanta,GA?jid=948fc8e32308d1a8",TEKsystems,2024-02-02T22:23:18Z,remote,948fc8e32308d1a8,2024-02-05T02:05:32Z
Data Analytics Engineer,Santa Monica,$90K - $120K / yr,Contractor,"https://www.ziprecruiter.com/c/Oceanfront-Analytics/Job/Data-Analytics-Engineer/-in-Santa-Monica,CA?jid=6794a96540943187",Oceanfront Analytics,2023-08-30T14:37:45Z,,6794a96540943187,2024-02-05T02:05:32Z
Sr Data Analyst,Englewood,$46.88 - $56.25 / hr,Contractor,"https://www.ziprecruiter.com/c/TEKsystems/Job/Sr-Data-Analyst/-in-Englewood,CO?jid=0903eb2d3b19a9cc",TEKsystems,2024-02-03T00:08:06Z,,0903eb2d3b19a9cc,2024-02-05T02:05:32Z
Claims Recovery Data Analyst | Contract,Orange County,$30 - $42 / hr,Contractor,"https://www.ziprecruiter.com/c/Consilio-Enterprise-Talent-Solutions/Job/Claims-Recovery-Data-Analyst-|-Contract/-in-Orange-County,CA?jid=ef330983030051b2",Consilio - Enterprise Talent Solutions,2024-01-22T22:48:50Z,,ef330983030051b2,2024-02-05T02:05:32Z
Sr. Project Analyst,Newport Beach,$49 - $51 / hr,Contractor,"https://www.ziprecruiter.com/c/DB-HEALTHCARE-INC/Job/Sr.-Project-Analyst/-in-Newport-Beach,CA?jid=b8f38f3e28c5baf6",DB HEALTHCARE INC,2023-12-12T15:27:50Z,remote,b8f38f3e28c5baf6,2024-02-05T02:05:32Z
"Data Analyst (Contract to Hire), Oakland, CA",Oakland,$0 / ,Contractor,https://b.jobcase.com/l/f/d/get_job.fsn?CID=4607&job_id=b5488967e7bea885dfeb0e718547ab50&t=Data+Analyst+%28Contract+to+Hire%29%2C+Oakland%2C+CA&c=International+Staffing+Consultants%2C+Inc.&l=Oakland%2C+CA+94605&AID=3776409&CMP=25320082&p=MTU%3D&repl=y&fpt=1707076638409&pcid=%7BPCID%7D&CHID=,"International Staffing Consultants, Inc.",2024-01-12T04:25:28Z,,,2024-02-05T02:05:32Z
REMOTE - Data Analyst,Remote,$0 / ,Contractor,"https://www.ziprecruiter.com/c/Platinum-Resource-Group/Job/REMOTE-Data-Analyst/-in-Remote,OR?jid=8630e34d6771d89a",Platinum Resource Group,2024-01-23T08:00:00Z,remote,8630e34d6771d89a,2024-02-05T02:05:32Z
Technology Data & Reporting Analyst,Remote,$0 / ,Contractor,"https://www.ziprecruiter.com/c/Abacus-Service-Corporation/Job/Technology-Data-&-Reporting-Analyst/-in-Remote,OR?jid=48dee10fb9341efc",Abacus Service Corporation,2023-08-01T17:19:24Z,remote,48dee10fb9341efc,2024-02-05T02:05:32Z
Senior UX Designer,Seattle,$80 - $85 / hr,Contractor,"https://www.ziprecruiter.com/c/Akkodis/Job/Senior-UX-Designer/-in-Seattle,WA?jid=4a48c263d0e69378",Akkodis,2024-01-10T13:24:46Z,remote,4a48c263d0e69378,2024-02-05T02:05:32Z
Data Analyst,Remote,$0 / ,Contractor,"https://www.ziprecruiter.com/c/Analyst-It-Vulnerability-Management-:-23-00057-IT-Jobs-|-IT-Positions/Job/Data-Analyst/-in-Remote,OR?jid=0a9a5d4365c1b288",Analyst It Vulnerability Management #: 23-00057 - IT Jobs | IT Positions,2024-02-02T08:00:00Z,,0a9a5d4365c1b288,2024-02-05T02:05:32Z
Data Analyst,Antioch,$44 - $46.21 / hr,Contractor,"https://www.ziprecruiter.com/c/Alpha-Consulting-Corp./Job/Data-Analyst/-in-Antioch,IL?jid=7518e4f178a979d4",Alpha Consulting Corp.,2024-01-05T08:00:00Z,,7518e4f178a979d4,2024-02-05T02:05:32Z
Data Analyst I,Culver City,$34 - $39 / hr,Contractor,"https://www.ziprecruiter.com/c/MindSource/Job/Data-Analyst-I/-in-Culver-City,CA?jid=0baf84afe56be08b",MindSource,2024-01-11T08:00:00Z,remote,0baf84afe56be08b,2024-02-05T02:05:32Z
Data Analyst,San Francisco,$60 - $63 / hr,Contractor,"https://www.ziprecruiter.com/c/Laboratory-Technician-|-St.-Cloud-Shines/Job/Data-Analyst/-in-San-Francisco,CA?jid=6b706d3c3fcd5c9f",Laboratory Technician | St. Cloud Shines,2023-09-01T07:00:00Z,remote,6b706d3c3fcd5c9f,2024-02-05T02:05:32Z
JR DATA ANALYST,Costa Mesa,$0 / ,Contractor,"https://www.ziprecruiter.com/c/Skiltrek/Job/JR-DATA-ANALYST/-in-Costa-Mesa,CA?jid=37720fc7ff9779ef",Skiltrek,2023-04-28T07:00:00Z,remote,37720fc7ff9779ef,2024-02-05T02:05:32Z
