Title,City,Salary,EmploymentType,JobURL,Company,Posted_date,RemoteStatus,JobID,Current date time (CST)
Senior Data Analyst,San Jose,$50 - $70 / hr,Contractor,"https://www.ziprecruiter.com/c/FOCUSKPI-INC/Job/Senior-Data-Analyst/-in-San-Jose,CA?jid=a2686abbd95104cd",FOCUSKPI INC,2023-12-13T23:15:05Z,,a2686abbd95104cd,2024-02-13 T13:10:23Z
Data Analytics Engineer,Santa Monica,$90K - $120K / yr,Contractor,"https://www.ziprecruiter.com/c/Oceanfront-Analytics/Job/Data-Analytics-Engineer/-in-Santa-Monica,CA?jid=6794a96540943187",Oceanfront Analytics,2023-08-30T14:37:45Z,,6794a96540943187,2024-02-13 T13:10:23Z
Claims Recovery Data Analyst | Contract,Orange County,$30 - $42 / hr,Contractor,"https://www.ziprecruiter.com/c/Consilio-Enterprise-Talent-Solutions/Job/Claims-Recovery-Data-Analyst-|-Contract/-in-Orange-County,CA?jid=ef330983030051b2",Consilio - Enterprise Talent Solutions,2024-01-22T22:48:50Z,,ef330983030051b2,2024-02-13 T13:10:23Z
Remote Data Analyst,Phoenix,$22 / hr,Contractor,"https://www.ziprecruiter.com/c/TEKsystems/Job/Remote-Data-Analyst/-in-Phoenix,AZ?jid=49fac58906815a2b",TEKsystems,2024-02-09T23:07:20Z,remote,49fac58906815a2b,2024-02-13 T13:10:23Z
Database Analyst,Salem,$65 / hr,Contractor,"https://www.ziprecruiter.com/c/Ohm-Systems,-Inc/Job/Database-Analyst/-in-Salem,OR?jid=1b1cf68972c034fb","Ohm Systems, Inc",2024-02-08T18:10:26Z,,1b1cf68972c034fb,2024-02-13 T13:10:23Z
Data Analyst,Naperville,$0 / ,Contractor,"https://www.ziprecruiter.com/c/Perfict-Global/Job/Data-Analyst/-in-Naperville,IL?jid=2f5c7fa68ef4b9a9",Perfict Global,2024-01-31T08:00:00Z,,2f5c7fa68ef4b9a9,2024-02-13 T13:10:23Z
Sr Data Analyst,Englewood,$46.88 - $56.25 / hr,Contractor,"https://www.ziprecruiter.com/c/TEKsystems/Job/Sr-Data-Analyst/-in-Englewood,CO?jid=0903eb2d3b19a9cc",TEKsystems,2024-02-03T00:08:06Z,,0903eb2d3b19a9cc,2024-02-13 T13:10:23Z
Data Analyst,San Francisco,$0 / ,Contractor,"https://www.ziprecruiter.com/c/Russell-Tobin/Job/Data-Analyst/-in-San-Francisco,CA?jid=5471435037074efd",Russell Tobin,2024-01-19T13:24:17Z,,5471435037074efd,2024-02-13 T13:10:23Z
Technology Data & Reporting Analyst,Remote,$0 / ,Contractor,"https://www.ziprecruiter.com/c/Abacus-Service-Corporation/Job/Technology-Data-&-Reporting-Analyst/-in-Remote,OR?jid=48dee10fb9341efc",Abacus Service Corporation,2023-08-01T17:19:24Z,remote,48dee10fb9341efc,2024-02-13 T13:10:23Z
Supply Chain Operations Analyst - 1782395,Santa Clara,$55 - $60 / hr,Contractor,"https://www.ziprecruiter.com/c/TCWGlobal/Job/Supply-Chain-Operations-Analyst-1782395/-in-Santa-Clara,CA?jid=102658e6e03180ef",TCWGlobal,2024-02-08T21:10:41Z,,102658e6e03180ef,2024-02-13 T13:10:23Z
