Title,City,Salary,EmploymentType,JobURL,Company,Posted_date,RemoteStatus,JobID,Current date time (CST)
Production Analyst,Dubuque,$20 / hr,Contractor,"https://www.ziprecruiter.com/c/Epitec/Job/Production-Analyst/-in-Dubuque,IA?jid=706072634bac65f5",Epitec,2024-01-04T20:58:22Z,,706072634bac65f5,2024-02-04T08:13:00Z
DES Analyst - Data Analyst,Tempe,$30 - $40 / hr,Contractor,"https://www.ziprecruiter.com/c/TEKsystems/Job/DES-Analyst-Data-Analyst/-in-Tempe,AZ?jid=568896635133cebb",TEKsystems,2019-05-17T23:09:58Z,,568896635133cebb,2024-02-04T08:13:00Z
Part Time Data Analyst,San Diego,$25 / hr,Contractor,"https://www.ziprecruiter.com/c/Insight-Global/Job/Part-Time-Data-Analyst/-in-San-Diego,CA?jid=7aa5c5f33907af00",Insight Global,2024-01-19T23:18:01Z,remote,7aa5c5f33907af00,2024-02-04T08:13:00Z
Billing Analyst,San Diego,$28.50 - $34.50 / hr,Contractor,"https://www.ziprecruiter.com/c/Insight-Global/Job/Billing-Analyst/-in-San-Diego,CA?jid=0f89a00abb64a1fc",Insight Global,2024-02-01T16:45:09Z,,0f89a00abb64a1fc,2024-02-04T08:13:00Z
Data Analyst,Chandler,$30 - $50 / hr,Contractor,"https://www.ziprecruiter.com/c/TEKsystems/Job/Data-Analyst/-in-Chandler,OH?jid=f6568218cf77b3c9",TEKsystems,2019-06-03T17:42:56Z,,f6568218cf77b3c9,2024-02-04T08:13:00Z
Data Analyst (Remote): 24-00008,Newport Beach,$58 - $63 / hr,Contractor,"https://www.ziprecruiter.com/c/Platinum-Resource-Group/Job/Data-Analyst-(Remote):-24-00008/-in-Newport-Beach,CA?jid=fb9316af637493be",Platinum Resource Group,2024-01-23T19:45:41Z,remote,fb9316af637493be,2024-02-04T08:13:00Z
Sales Operations Analyst,Lehi,$30 - $34 / hr,Contractor,"https://www.ziprecruiter.com/c/SGA/Job/Sales-Operations-Analyst/-in-Lehi,UT?jid=8960f7eccffa6169",SGA,2023-06-16T21:42:43Z,,8960f7eccffa6169,2024-02-04T08:13:00Z
Data Analytics Engineer,Santa Monica,$90K - $120K / yr,Contractor,"https://www.ziprecruiter.com/c/Oceanfront-Analytics/Job/Data-Analytics-Engineer/-in-Santa-Monica,CA?jid=6794a96540943187",Oceanfront Analytics,2023-08-30T14:37:45Z,,6794a96540943187,2024-02-04T08:13:00Z
Stability Analyst,Rocklin,$20 - $25 / hr,Contractor,"https://www.ziprecruiter.com/c/Ronin-Staffing,-LLC/Job/Stability-Analyst/-in-Rocklin,CA?jid=5eddba37f61ecfe4","Ronin Staffing, LLC",2024-01-24T20:17:24Z,,5eddba37f61ecfe4,2024-02-04T08:13:00Z
Claims Recovery Data Analyst | Contract,Orange County,$30 - $42 / hr,Contractor,"https://www.ziprecruiter.com/c/Consilio-Enterprise-Talent-Solutions/Job/Claims-Recovery-Data-Analyst-|-Contract/-in-Orange-County,CA?jid=ef330983030051b2",Consilio - Enterprise Talent Solutions,2024-01-22T22:48:50Z,,ef330983030051b2,2024-02-04T08:13:00Z
Business Systems Analyst,San Diego,$32 / hr,Contractor,"https://www.ziprecruiter.com/c/A.P.R.,-Inc.-(AlphaProTemps)/Job/Business-Systems-Analyst/-in-San-Diego,CA?jid=2d244d720e7c9bd4","A.P.R., Inc. (AlphaProTemps)",2024-01-26T01:14:58Z,,2d244d720e7c9bd4,2024-02-04T08:13:00Z
Business Systems Analyst - IT - III,Foster City,$70 - $80 / hr,Contractor,"https://www.ziprecruiter.com/c/Integrated-Resources,-Inc/Job/Business-Systems-Analyst-IT-III/-in-Foster-City,CA?jid=25668de01aad34c0","Integrated Resources, Inc",2024-01-23T03:24:57Z,,25668de01aad34c0,2024-02-04T08:13:00Z
Sr. Project Analyst,Newport Beach,$49 - $51 / hr,Contractor,"https://www.ziprecruiter.com/c/DB-HEALTHCARE-INC/Job/Sr.-Project-Analyst/-in-Newport-Beach,CA?jid=b8f38f3e28c5baf6",DB HEALTHCARE INC,2023-12-12T15:27:50Z,remote,b8f38f3e28c5baf6,2024-02-04T08:13:00Z
FT Contract Opportunity | Business Systems Analyst | Remote,Redmond,$70K - $80K / yr,Contractor,"https://www.ziprecruiter.com/c/Lucid-Consulting-Group/Job/FT-Contract-Opportunity-|-Business-Systems-Analyst-|-Remote/-in-Redmond,WA?jid=1409600541874c64",Lucid Consulting Group,2023-12-30T14:35:33Z,remote,1409600541874c64,2024-02-04T08:13:00Z
