Title,City,Salary,EmploymentType,JobURL,Company,Posted_date,RemoteStatus,JobID,Current date time (CST)
Data Coordinator - W2 Only - 24727,Battle Creek,$30 / hr,Contractor,"https://www.ziprecruiter.com/c/iMPact-Business-Group/Job/Data-Coordinator-W2-Only-24727/-in-Battle-Creek,MI?jid=65f06e341acb16df",iMPact Business Group,2024-02-08T14:01:51Z,remote,65f06e341acb16df,2024-02-08 T09:00:19Z
People Data Analyst,Los Angeles,$56 - $69 / hr,Contractor,"https://www.ziprecruiter.com/c/WAVSYS/Job/People-Data-Analyst/-in-Los-Angeles,CA?jid=8d6ab342d9f4acb3",WAVSYS,2024-02-02T17:37:56Z,,8d6ab342d9f4acb3,2024-02-08 T09:00:19Z
Data Analyst at Marketing Insights,Austin,$50 - $58 / hr,Contractor,"https://www.ziprecruiter.com/c/OUTSOURCE-Consulting-Services,-Inc.-(OCSI.co)/Job/Data-Analyst-at-Marketing-Insights/-in-Austin,TX?jid=037855bdda00f99b","OUTSOURCE Consulting Services, Inc. (OCSI.co)",2024-02-06T01:36:45Z,,037855bdda00f99b,2024-02-08 T09:00:19Z
Business Intelligence Developer / Data Analyst,Minneapolis,$0 / ,Contractor,"https://www.ziprecruiter.com/c/BCForward/Job/Business-Intelligence-Developer-Data-Analyst/-in-Minneapolis,MN?jid=b1f7249ad5bb7c41",BCForward,2024-02-08T13:53:22Z,,b1f7249ad5bb7c41,2024-02-08 T09:00:19Z
Data Analytics Engineer,Santa Monica,$90K - $120K / yr,Contractor,"https://www.ziprecruiter.com/c/Oceanfront-Analytics/Job/Data-Analytics-Engineer/-in-Santa-Monica,CA?jid=6794a96540943187",Oceanfront Analytics,2023-08-30T14:37:45Z,,6794a96540943187,2024-02-08 T09:00:19Z
Data Analyst,Antioch,$44 - $46.21 / hr,Contractor,"https://www.ziprecruiter.com/c/Alpha-Consulting-Corp./Job/Data-Analyst/-in-Antioch,IL?jid=7518e4f178a979d4",Alpha Consulting Corp.,2024-01-05T08:00:00Z,,7518e4f178a979d4,2024-02-08 T09:00:19Z
Claims Recovery Data Analyst | Contract,Orange County,$30 - $42 / hr,Contractor,"https://www.ziprecruiter.com/c/Consilio-Enterprise-Talent-Solutions/Job/Claims-Recovery-Data-Analyst-|-Contract/-in-Orange-County,CA?jid=ef330983030051b2",Consilio - Enterprise Talent Solutions,2024-01-22T22:48:50Z,,ef330983030051b2,2024-02-08 T09:00:19Z
IT Business Analyst,Jersey City,$50 - $51 / hr,Contractor,"https://www.ziprecruiter.com/c/KYYBA/Job/IT-Business-Analyst/-in-Jersey-City,NJ?jid=52caafccc09f95d8",KYYBA,2024-02-08T14:09:59Z,,52caafccc09f95d8,2024-02-08 T09:00:19Z
Business Systems Analyst,San Diego,$32 / hr,Contractor,"https://www.ziprecruiter.com/c/A.P.R.,-Inc.-(AlphaProTemps)/Job/Business-Systems-Analyst/-in-San-Diego,CA?jid=2d244d720e7c9bd4","A.P.R., Inc. (AlphaProTemps)",2024-01-26T01:14:58Z,,2d244d720e7c9bd4,2024-02-08 T09:00:19Z
FT Contract Opportunity | Business Systems Analyst | Remote,Redmond,$70K - $80K / yr,Contractor,"https://www.ziprecruiter.com/c/Lucid-Consulting-Group/Job/FT-Contract-Opportunity-|-Business-Systems-Analyst-|-Remote/-in-Redmond,WA?jid=1409600541874c64",Lucid Consulting Group,2023-12-30T14:35:33Z,remote,1409600541874c64,2024-02-08 T09:00:19Z
Sr Data Analyst,Englewood,$46.88 - $56.25 / hr,Contractor,"https://www.ziprecruiter.com/c/TEKsystems/Job/Sr-Data-Analyst/-in-Englewood,CO?jid=0903eb2d3b19a9cc",TEKsystems,2024-02-03T00:08:06Z,,0903eb2d3b19a9cc,2024-02-08 T09:00:19Z
Data Analyst,Naperville,$0 / ,Contractor,"https://www.ziprecruiter.com/c/Perfict-Global/Job/Data-Analyst/-in-Naperville,IL?jid=2f5c7fa68ef4b9a9",Perfict Global,2024-01-31T08:00:00Z,,2f5c7fa68ef4b9a9,2024-02-08 T09:00:19Z
Data Analyst,San Francisco,$0 / ,Contractor,"https://www.ziprecruiter.com/c/Russell-Tobin/Job/Data-Analyst/-in-San-Francisco,CA?jid=5471435037074efd",Russell Tobin,2024-01-19T13:24:17Z,,5471435037074efd,2024-02-08 T09:00:19Z
