Job_id,Job title,Job posting date,Job posting url,Job location,Pay rate,Vendor company name,Job type,Work from availability,Work type(remote/on-site),Modified Date,Current date time (CST),Job Title
2bfa31303c901a0b7991e390a022e03d,PMO Data Analyst,2024-02-09T16:10:36Z,https://www.dice.com/job-detail/a303a8d1-7cdb-46a0-8082-238d69888ae9,"McLean, VA, USA",USD61 - USD66,Randstad Digital,Contract,FALSE,Hybrid/Onsite,2024-02-09T16:10:36Z,2024-02-09T10:59:19Z,Data Analyst
f08facc007fd2bc505d5ef29d5abd1b6,Sr Data Analyst,2024-02-09T16:10:52Z,https://www.dice.com/job-detail/ef5be537-fbeb-4afa-84b7-ea2bf1820f87,"McLean, VA, USA",USD61 - USD66,Randstad Digital,Contract,FALSE,Hybrid/Onsite,2024-02-09T16:10:52Z,2024-02-09T10:59:19Z,Data Analyst
e7fd2aa3ba717186f8155be5330f27ee,Sr. Data Analyst,2024-02-09T01:10:08Z,https://www.dice.com/job-detail/bc6f81cf-a99e-4bb4-8a6f-62933dc504b6,"Minneapolis, MN, USA",USD54 - USD68,Randstad Digital,Contract,FALSE,Remote,2024-02-09T16:10:27Z,2024-02-09T10:59:19Z,Data Analyst
f0386e11eca254069b457d9c5ac6525c,BI Data Analyst - Onsite,2024-02-09T00:24:34Z,https://www.dice.com/job-detail/941e6cba-d054-426d-aefc-5801ae58f274,"Los Angeles, CA, USA",Depends on Experience,Chabez Tech LLC,"Contract, Third Party",FALSE,Hybrid/Onsite,2024-02-09T15:48:17Z,2024-02-09T10:59:19Z,Data Analyst
32b0e622fac869d86b89fc3fd7e7977b,Senior Data Analyst,2024-02-09T16:57:31Z,https://www.dice.com/job-detail/6627fd03-8f64-45d8-87eb-2f639d483a62,"Boston, MA, USA",$70 - $75,Xoriant Corporation,Contract,FALSE,Hybrid/Onsite,2024-02-09T16:57:31Z,2024-02-09T10:59:19Z,Data Analyst
a2af5d106e74b29b41b9a2778222676f,Data Analyst with Guidewire Experience,2024-02-09T15:06:11Z,https://www.dice.com/job-detail/b695cac5-0ba5-412f-96c3-df1277676b67,"Houston, TX, USA",Depends on Experience,ePeople Technologies Inc,"Third Party, Contract",FALSE,Hybrid/Onsite,2024-02-09T15:06:11Z,2024-02-09T10:59:19Z,Data Analyst
419531e629f418a05917ac2660f75fc7,DATA ANALYST,2024-02-08T21:46:10Z,https://www.dice.com/job-detail/74f493c8-40c0-44ab-9d97-7b8e2b326667,"Philadelphia, PA, USA",,INNOVIT USA INC,"Third Party, Contract",FALSE,Hybrid/Onsite,2024-02-09T11:01:40Z,2024-02-09T10:59:19Z,Data Analyst
04c91ba9cd65af23ee01692495b8d334,Data Analyst,2024-02-09T13:32:05Z,https://www.dice.com/job-detail/fbdb44a8-ac13-4d05-9bbd-b20bd141aa69,"Charlotte, NC, USA",$50.0000 - $55.0000,Collabera LLC,Contract,FALSE,Hybrid/Onsite,2024-02-09T16:49:22Z,2024-02-09T10:59:19Z,Data Analyst
04a8899580a040e0b358e423d19369b8,Data Analyst (Production Support) || No OPT and CPT ||,2024-02-09T16:36:57Z,https://www.dice.com/job-detail/c1af6e3c-34f5-43bc-8606-f616cdfd61d9,"Boston, MA, USA",Depends on Experience,Shiro Technologies,Contract,FALSE,Hybrid/Onsite,2024-02-09T16:36:57Z,2024-02-09T10:59:19Z,Data Analyst
1e0f1d33a1d1661d2fb2698f14aa76b9,Mid-level Data Analyst,2024-02-09T14:53:49Z,https://www.dice.com/job-detail/6bf736cd-099f-45df-ad77-7c946e3dcb07,"McLean, VA, USA",Depends on Experience,"eSolutionsFirst, LLC",Contract,FALSE,Hybrid/Onsite,2024-02-09T14:53:49Z,2024-02-09T10:59:19Z,Data Analyst
