Title,City,Salary,EmploymentType,JobURL,Company,Posted_date,RemoteStatus,JobID,Current date time (CST)
Forensic Data Manager/Forensic Data Analyst,Providence,$35 / hr,Contractor,"https://www.ziprecruiter.com/c/22nd-Century-Technologies-Inc.-(TSCTI)/Job/Forensic-Data-Manager-Forensic-Data-Analyst/-in-Providence,RI?jid=a817766ef1e1a28f",22nd Century Technologies Inc. (TSCTI),2024-02-02T19:57:38Z,,a817766ef1e1a28f,2024-02-09 T10:58:01Z
Database Analyst,Salem,$65 / hr,Contractor,"https://www.ziprecruiter.com/c/Ohm-Systems,-Inc/Job/Database-Analyst/-in-Salem,OR?jid=1b1cf68972c034fb","Ohm Systems, Inc",2024-02-08T18:10:26Z,,1b1cf68972c034fb,2024-02-09 T10:58:01Z
Data Analytics Engineer,Santa Monica,$90K - $120K / yr,Contractor,"https://www.ziprecruiter.com/c/Oceanfront-Analytics/Job/Data-Analytics-Engineer/-in-Santa-Monica,CA?jid=6794a96540943187",Oceanfront Analytics,2023-08-30T14:37:45Z,,6794a96540943187,2024-02-09 T10:58:01Z
Supply Chain Operations Analyst - 1782395,Santa Clara,$55 - $60 / hr,Contractor,"https://www.ziprecruiter.com/c/TCWGlobal/Job/Supply-Chain-Operations-Analyst-1782395/-in-Santa-Clara,CA?jid=102658e6e03180ef",TCWGlobal,2024-02-08T21:10:41Z,,102658e6e03180ef,2024-02-09 T10:58:01Z
Claims Recovery Data Analyst | Contract,Orange County,$30 - $42 / hr,Contractor,"https://www.ziprecruiter.com/c/Consilio-Enterprise-Talent-Solutions/Job/Claims-Recovery-Data-Analyst-|-Contract/-in-Orange-County,CA?jid=ef330983030051b2",Consilio - Enterprise Talent Solutions,2024-01-22T22:48:50Z,,ef330983030051b2,2024-02-09 T10:58:01Z
Sr Data Analyst,Englewood,$46.88 - $56.25 / hr,Contractor,"https://www.ziprecruiter.com/c/TEKsystems/Job/Sr-Data-Analyst/-in-Englewood,CO?jid=0903eb2d3b19a9cc",TEKsystems,2024-02-03T00:08:06Z,,0903eb2d3b19a9cc,2024-02-09 T10:58:01Z
Resource Management Analyst/ VMS Analyst,Dallas,$0 / ,Contractor,"https://www.ziprecruiter.com/c/Mastech-Digital/Job/Resource-Management-Analyst-VMS-Analyst/-in-Dallas,TX?jid=76279e26ca113f26",Mastech Digital,2024-02-09T16:05:40Z,remote,76279e26ca113f26,2024-02-09 T10:58:01Z
"Data Analyst role in Plano, TX",Plano,$0 / ,Contractor,"https://www.ziprecruiter.com/c/Artech/Job/Data-Analyst-role-in-Plano,-TX/-in-Plano,TX?jid=cf8817b48ea441c8",Artech,2024-02-05T08:00:00Z,,cf8817b48ea441c8,2024-02-09 T10:58:01Z
FT Contract Opportunity | Business Systems Analyst | Remote,Redmond,$70K - $80K / yr,Contractor,"https://www.ziprecruiter.com/c/Lucid-Consulting-Group/Job/FT-Contract-Opportunity-|-Business-Systems-Analyst-|-Remote/-in-Redmond,WA?jid=1409600541874c64",Lucid Consulting Group,2023-12-30T14:35:33Z,remote,1409600541874c64,2024-02-09 T10:58:01Z
Data Analyst,San Francisco,$0 / ,Contractor,"https://www.ziprecruiter.com/c/Russell-Tobin/Job/Data-Analyst/-in-San-Francisco,CA?jid=5471435037074efd",Russell Tobin,2024-01-19T13:24:17Z,,5471435037074efd,2024-02-09 T10:58:01Z
Data Analyst II,Austin,$0 / ,Contractor,"https://www.ziprecruiter.com/c/TalentBurst/Job/Data-Analyst-II/-in-Austin,TX?jid=2e53daa02134c690",TalentBurst,2024-02-08T08:00:00Z,,2e53daa02134c690,2024-02-09 T10:58:01Z
Data Analyst,Boston,$80 / hr,Contractor,"https://www.ziprecruiter.com/c/The-Brixton-Group/Job/Data-Analyst/-in-Boston,MA?jid=8ae65b641f1317d1",The Brixton Group,2024-02-08T08:00:00Z,,8ae65b641f1317d1,2024-02-09 T10:58:01Z
Data Analyst,Plano,$0 / ,Contractor,"https://www.ziprecruiter.com/c/Bridge-Technologies-and-Solutions/Job/Data-Analyst/-in-Plano,TX?jid=61bcdd441811325d",Bridge Technologies and Solutions,2022-10-05T07:00:00Z,,61bcdd441811325d,2024-02-09 T10:58:01Z
Data Analyst,Frisco,$0 / ,Contractor,"https://www.ziprecruiter.com/c/eTeam/Job/Data-Analyst/-in-Frisco,TX?jid=5481b18f8abd6431",eTeam,2022-04-08T12:53:33Z,,5481b18f8abd6431,2024-02-09 T10:58:01Z
"Data Analyst Lead - Richardson, TX",Richardson,$0 / ,Contractor,"https://www.ziprecruiter.com/c/Deegit-Inc/Job/Data-Analyst-Lead-Richardson,-TX/-in-Richardson,TX?jid=1e18680fcf5aee29",Deegit Inc,2015-09-21T00:00:00Z,,1e18680fcf5aee29,2024-02-09 T10:58:01Z
Lead Data Analyst,Boston,$100 / hr,Contractor,"https://www.ziprecruiter.com/c/The-Brixton-Group/Job/Lead-Data-Analyst/-in-Boston,MA?jid=71d249e91762e19b",The Brixton Group,2024-02-08T08:00:00Z,,71d249e91762e19b,2024-02-09 T10:58:01Z
Technology Data & Reporting Analyst,Remote,$0 / ,Contractor,"https://www.ziprecruiter.com/c/Abacus-Service-Corporation/Job/Technology-Data-&-Reporting-Analyst/-in-Remote,OR?jid=48dee10fb9341efc",Abacus Service Corporation,2023-08-01T17:19:24Z,remote,48dee10fb9341efc,2024-02-09 T10:58:01Z
eCommerce Data Syndication Analyst,Remote,$0 / ,Contractor,"https://www.ziprecruiter.com/c/Laboratory-Technician-|-St.-Cloud-Shines/Job/Ecommerce-Data-Syndication-Analyst/-in-Remote,OR?jid=abf41208bb102c71",Laboratory Technician | St. Cloud Shines,2024-02-05T08:00:00Z,remote,abf41208bb102c71,2024-02-09 T10:58:01Z
Data Analyst I,Culver City,$34 - $39 / hr,Contractor,"https://www.ziprecruiter.com/c/MindSource/Job/Data-Analyst-I/-in-Culver-City,CA?jid=0baf84afe56be08b",MindSource,2024-01-11T08:00:00Z,remote,0baf84afe56be08b,2024-02-09 T10:58:01Z
Looking for a Data analyst with our direct banking client,Plano,$0 / ,Contractor,"https://www.ziprecruiter.com/c/Artech/Job/Looking-for-a-Data-analyst-with-our-direct-banking-client/-in-Plano,TX?jid=4035bf9df57fd074",Artech,2023-10-06T23:13:04Z,,4035bf9df57fd074,2024-02-09 T10:58:05Z
Financial Analyst,Fort Worth,$40 - $55 / hr,Contractor,"https://www.ziprecruiter.com/c/Geologics/Job/Financial-Analyst/-in-Fort-Worth,TX?jid=656370d4d6499b5d",Geologics,2024-02-08T08:00:00Z,,656370d4d6499b5d,2024-02-09 T10:58:05Z
Data Analyst,Antioch,$44 - $46.21 / hr,Contractor,"https://www.ziprecruiter.com/c/Alpha-Consulting-Corp./Job/Data-Analyst/-in-Antioch,IL?jid=7518e4f178a979d4",Alpha Consulting Corp.,2024-01-05T08:00:00Z,,7518e4f178a979d4,2024-02-09 T10:58:05Z
