Title,City,Salary,EmploymentType,JobURL,Company,Posted_date,RemoteStatus,JobID,Current date time (CST)
Data Analyst I,Culver City,$34 - $39 / hr,Contractor,"https://www.ziprecruiter.com/c/MindSource/Job/Data-Analyst-I/-in-Culver-City,CA?jid=0baf84afe56be08b",MindSource,2024-01-11T08:00:00Z,remote,0baf84afe56be08b,2024-02-06T10:31:30Z
Excel Data Analyst (Contract),South San Francisco,$0 / ,Contractor,"https://www.ziprecruiter.com/c/Pira-Consulting-|-Professional-Technology-Staffing-Agency/Job/Excel-Data-Analyst-(Contract)/-in-South-San-Francisco,CA?jid=8ce88117848eb937",Pira Consulting | Professional Technology Staffing Agency,2024-02-02T18:54:15Z,remote,8ce88117848eb937,2024-02-06T10:31:30Z
JR DATA ANALYST,Costa Mesa,$0 / ,Contractor,"https://www.ziprecruiter.com/c/Skiltrek/Job/JR-DATA-ANALYST/-in-Costa-Mesa,CA?jid=37720fc7ff9779ef",Skiltrek,2023-04-28T07:00:00Z,remote,37720fc7ff9779ef,2024-02-06T10:31:30Z
Data Analyst,San Francisco,$60 - $63 / hr,Contractor,"https://www.ziprecruiter.com/c/Laboratory-Technician-|-St.-Cloud-Shines/Job/Data-Analyst/-in-San-Francisco,CA?jid=6b706d3c3fcd5c9f",Laboratory Technician | St. Cloud Shines,2023-09-01T07:00:00Z,remote,6b706d3c3fcd5c9f,2024-02-06T10:31:30Z
Business Intelligence/Data Analyst,Santa Clara,$50 - $55 / hr,Contractor,"https://www.ziprecruiter.com/c/TEKsystems/Job/Business-Intelligence-Data-Analyst/-in-Santa-Clara,CA?jid=8959975e74db015c",TEKsystems,2024-02-02T01:25:33Z,,8959975e74db015c,2024-02-06T10:31:30Z
Remote project - IT Systems Analyst Specialist,Memphis,$0 / ,Contractor,"https://www.ziprecruiter.com/c/Donato-Technologies,-Inc/Job/Remote-project-IT-Systems-Analyst-Specialist/-in-Memphis,TN?jid=05e3d276c3f7492b","Donato Technologies, Inc",2024-02-05T18:26:53Z,remote,05e3d276c3f7492b,2024-02-06T10:31:30Z
Information Systems Analyst (12820),Fremont,$36 - $41 / hr,Contractor,"https://www.ziprecruiter.com/c/InGenesis/Job/Information-Systems-Analyst-(12820)/-in-Fremont,CA?jid=f31436a3a6d007f3",InGenesis,2024-02-06T12:22:00Z,remote,f31436a3a6d007f3,2024-02-06T10:31:30Z
Senior UX Designer,Seattle,$80 - $85 / hr,Contractor,"https://www.ziprecruiter.com/c/Akkodis/Job/Senior-UX-Designer/-in-Seattle,WA?jid=4a48c263d0e69378",Akkodis,2024-01-10T13:24:46Z,remote,4a48c263d0e69378,2024-02-06T10:31:30Z
Coin ERP Data Engineer /Analyst -remote,Minneapolis,$0 / ,Contractor,"https://www.ziprecruiter.com/c/RIT-Solutions/Job/Coin-ERP-Data-Engineer-Analyst-remote/-in-Minneapolis,MN?jid=31c604bcd43b9112",RIT Solutions,2024-02-05T08:00:00Z,remote,31c604bcd43b9112,2024-02-06T10:31:30Z
Data Analyst,Beaverton,$0 / ,Contractor,"https://www.ziprecruiter.com/c/Genoa-Employment-Solutions-Inc/Job/Data-Analyst/-in-Beaverton,OR?jid=bac461cd631bdf85",Genoa Employment Solutions Inc,2022-11-29T07:27:49Z,remote,bac461cd631bdf85,2024-02-06T10:31:30Z
TRIBAL INTERN - Data Analyst,Phoenix,$20 / hr,Contractor,"https://www.ziprecruiter.com/c/Central-Arizona-Project/Job/TRIBAL-INTERN-Data-Analyst/-in-Phoenix,AZ?jid=d9df4b57a4a7474f",Central Arizona Project,2023-12-18T00:00:00Z,remote,d9df4b57a4a7474f,2024-02-06T10:31:30Z
Data Analyst,San Diego,$24 / hr,Contractor,"https://www.ziprecruiter.com/c/Artech-Information-System-LLC/Job/Data-Analyst/-in-San-Diego,CA?jid=950d2cf00803f1b1",Artech Information System LLC,2017-09-08T07:00:00Z,,950d2cf00803f1b1,2024-02-06T10:31:30Z
Business Analyst Finance,Chicago,$0 / ,Contractor,"https://www.ziprecruiter.com/c/Resource-Logistics/Job/Business-Analyst-Finance/-in-Chicago,IL?jid=28de9a811ab399d2",Resource Logistics,2024-01-18T08:00:00Z,,28de9a811ab399d2,2024-02-06T10:31:30Z
Real World Evidence (RWE) - Data Analyst,Remote,$0 / ,Contractor,"https://www.ziprecruiter.com/c/Artech/Job/Real-World-Evidence-(RWE)-Data-Analyst/-in-Remote,OR?jid=323b8d88510ca2bc",Artech,2023-10-26T07:00:00Z,remote,323b8d88510ca2bc,2024-02-06T10:31:30Z
Hiring for Business Analyst Roles,Chicago,$0 / ,Contractor,"https://www.ziprecruiter.com/c/Beta-oft-Systems-Inc/Job/Hiring-for-Business-Analyst-Roles/-in-Chicago,IL?jid=fe5068bb77c241ea",Beta oft Systems Inc,2020-03-11T00:00:00Z,,fe5068bb77c241ea,2024-02-06T10:31:30Z
Senior Project Analyst,Newport Beach,$45 - $55 / hr,Contractor,"https://www.ziprecruiter.com/c/Peregrine-Team/Job/Senior-Project-Analyst/-in-Newport-Beach,CA?jid=696046f07b3f513b",Peregrine Team,2024-01-12T04:08:22Z,,696046f07b3f513b,2024-02-06T10:31:30Z
Data Analyst/SR (29689),Phoenix,$0 / ,Contractor,"https://www.ziprecruiter.com/c/IDEALFORCE-LLC/Job/Data-Analyst-SR-(29689)/-in-Phoenix,AZ?jid=345df3be7374aaa3",IDEALFORCE LLC,2014-07-25T07:00:00Z,,345df3be7374aaa3,2024-02-06T10:31:30Z
Jr- Mid-level Data Analyst/Engineer,Englewood,$0 / ,Contractor,"https://www.ziprecruiter.com/c/ClientSolv-Technologies/Job/Jr-Mid-level-Data-Analyst-Engineer/-in-Englewood,CO?jid=65f771f3568973d7",ClientSolv Technologies,2022-01-25T08:00:00Z,,65f771f3568973d7,2024-02-06T10:31:30Z
Data Analyst,Phoenix,$0 / ,Contractor,"https://www.ziprecruiter.com/c/Atria-Group-LLC/Job/Data-Analyst/-in-Phoenix,AZ?jid=dd96659d6e5639ac",Atria Group LLC,2016-02-15T08:00:00Z,,dd96659d6e5639ac,2024-02-06T10:31:30Z
Data Integrity/Labeling Analyst,Sacramento,$0 / ,Contractor,"https://www.ziprecruiter.com/c/Ursus,-Inc./Job/Data-Integrity-Labeling-Analyst/-in-Sacramento,CA?jid=1843a0d10f76786a","Ursus, Inc.",2024-02-02T04:23:56Z,,1843a0d10f76786a,2024-02-06T10:31:30Z
ArcGis Data Analyst,Denver,$0 / ,Contractor,"https://www.ziprecruiter.com/c/Marathon-TS/Job/ArcGis-Data-Analyst/-in-Denver,CO?jid=46b475e2eec62c1f",Marathon TS,2019-08-21T07:00:00Z,,46b475e2eec62c1f,2024-02-06T10:31:34Z
Reporting Analyst - Financial Risk Reporting,Dallas,$60 - $68 / hr,Contractor,"https://www.ziprecruiter.com/c/Pyramid-Consulting/Job/Reporting-Analyst-Financial-Risk-Reporting/-in-Dallas,TX?jid=ee09074d8b87008a",Pyramid Consulting,2024-01-18T08:00:00Z,,ee09074d8b87008a,2024-02-06T10:31:34Z
Data Analyst IV,Cupertino,$61 - $66 / hr,Contractor,"https://www.ziprecruiter.com/c/MindSource/Job/Data-Analyst-IV/-in-Cupertino,CA?jid=bd445b724c7a0ffb",MindSource,2024-01-22T08:00:00Z,,bd445b724c7a0ffb,2024-02-06T10:31:34Z
Data Analyst Level II (38945),Phoenix,$0 / ,Contractor,"https://www.ziprecruiter.com/c/IDEALFORCE-LLC/Job/Data-Analyst-Level-II-(38945)/-in-Phoenix,AZ?jid=9b242ea8c070cc49",IDEALFORCE LLC,2016-02-24T08:00:00Z,,9b242ea8c070cc49,2024-02-06T10:31:34Z
Data Integrity/Labeling Analyst,Sacramento,$0 / ,Contractor,"https://www.ziprecruiter.com/c/Ursus,-Inc./Job/Data-Integrity-Labeling-Analyst/-in-Sacramento,CA?jid=1843a0d10f76786a","Ursus, Inc.",2024-02-02T04:23:56Z,,1843a0d10f76786a,2024-02-06T10:31:34Z
Business Analyst II - IT,Fort Worth,$0 / ,Contractor,"https://www.ziprecruiter.com/c/Saviance-Technologies/Job/Business-Analyst-II-IT/-in-Fort-Worth,TX?jid=c57953596e66891b",Saviance Technologies,2014-10-30T07:00:00Z,,c57953596e66891b,2024-02-06T10:31:34Z
Data Analyst,Redmond,$0 / ,Contractor,"https://www.ziprecruiter.com/c/SRI-Tech-solutions-Inc/Job/Data-Analyst/-in-Redmond,WA?jid=c9ea9e54bc0a6c00",SRI Tech solutions Inc,2016-07-08T07:00:00Z,,c9ea9e54bc0a6c00,2024-02-06T10:31:34Z
Document/Data Analyst,Boulder,$0 / ,Contractor,"https://www.ziprecruiter.com/c/Integrated-Resources-INC/Job/Document-Data-Analyst/-in-Boulder,CO?jid=09372b8099ec323f",Integrated Resources INC,2016-08-09T07:00:00Z,,09372b8099ec323f,2024-02-06T10:31:34Z
